('247A3', '731')
('25986', '952')
('265TK', '932')
('27954', '429')
('2T894', '532')
('2TQ63', '276')
('2Q34T', '346')
('2KQ64', '340')
('34527', '101')
('34857', '313')
('35A94', '978')
('36T8Q', '965')
('38246', '750')
('39K86', '441')
('3A582', '762')
('436T8', '670')
('4573Q', '654')
('457QT', '261')
('46758', '266')
('472K6', '641')
('4829K', '807')
('48526', '379')
('4T768', '459')
('4A2K7', '470')
('4A389', '52')
('5326T', '833')
('53QT4', '741')
('53A68', '867')
('57693', '380')
('5872T', '522')
('5Q786', '411')
('5K472', '91')
('5ATQ2', '850')
('6482T', '975')
('653T4', '243')
('654A8', '951')
('673QT', '578')
('68QT5', '425')
('69248', '263')
('6974A', '251')
('6T4K7', '329')
('6T7K5', '259')
('6TA53', '136')
('6Q8T7', '944')
('6QTA2', '271')
('6QTA4', '412')
('6K2Q5', '567')
('6AQ52', '764')
('739A2', '417')
('78K64', '597')
('79KA6', '45')
('7Q32A', '426')
('7Q65A', '937')
('7QTK4', '105')
('7K628', '931')
('7A98Q', '274')
('7AT3Q', '177')
('834K6', '55')
('836TK', '664')
('842KA', '704')
('8795Q', '784')
('8TK79', '36')
('8Q26T', '182')
('8AQ56', '324')
('926K7', '781')
('9274Q', '917')
('92KQT', '809')
('9347K', '770')
('9357Q', '957')
('945A8', '171')
('94K86', '333')
('95K8T', '232')
('96Q4T', '257')
('9T3A2', '939')
('9Q3K7', '708')
('9Q5T6', '669')
('9QA26', '409')
('9K328', '860')
('T2456', '173')
('T4532', '619')
('T586A', '387')
('T829Q', '487')
('T8729', '399')
('TQ23K', '133')
('Q6483', '921')
('Q78A2', '181')
('Q7K8A', '832')
('Q873T', '305')
('Q936A', '166')
('QT835', '203')
('QK672', '660')
('QK94A', '523')
('QA725', '865')
('K24QT', '152')
('K3759', '514')
('K37TQ', '504')
('K3Q95', '63')
('K4Q5T', '679')
('K543T', '758')
('K63Q4', '214')
('K73T5', '87')
('K7968', '405')
('KA2T7', '490')
('KA458', '212')
('KA5Q3', '30')
('A3K79', '539')
('A6387', '222')
('A6852', '363')
('A7438', '924')
('A9825', '488')
('AQ497', '930')
('AK67T', '963')
('J358Q', '997')
('J38T7', '320')
('J4K93', '354')
('J4AT7', '499')
('J5QA8', '192')
('J5KQ2', '948')
('J635Q', '914')
('J7892', '302')
('J8A72', '875')
('J973A', '455')
('JQ438', '517')
('JQ469', '120')
('JQ86A', '891')
('2J4QK', '184')
('2J96K', '328')
('2JQKA', '465')
('2295Q', '548')
('22K63', '78')
('22K9A', '278')
('22A98', '730')
('2329T', '369')
('24399', '241')
('2559T', '443')
('25K29', '625')
('264J3', '527')
('27467', '100')
('28265', '205')
('28A5A', '92')
('2Q6J4', '848')
('2KJ3T', '141')
('2A757', '537')
('3JQ5T', '612')
('3JAKT', '95')
('32J6Q', '389')
('32374', '188')
('32387', '759')
('32776', '976')
('33982', '160')
('33QA7', '796')
('34995', '148')
('362J9', '793')
('36T26', '726')
('36TT7', '38')
('3852J', '856')
('38K9K', '983')
('39255', '478')
('3T473', '179')
('3T573', '805')
('3T8TQ', '109')
('3QJ94', '50')
('3KJ92', '601')
('3KKT7', '396')
('3A783', '421')
('42K27', '872')
('43742', '775')
('43748', '972')
('4452K', '235')
('447QT', '646')
('45AA6', '580')
('47JQ5', '818')
